Sample,Sample type,Condition,Treatment,Timepoint,IL-2Ra,MIG,MIP-1b,IL-6,IFN-a2,IFN-g,SDF-1a,IL-1ra,MCP-3,IL-16,IL-12 (p40),LIF,TNF-b,IL-5,GM-CSF,MIF,TNF-a,RANTES,IL-2,IL-1b,IL-18,Eotaxin,Basic FGF,VEGF,b-NGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1,IL-8,MIP-1a,IL-10,G-CSF,GRO-a,HGF,IL-1a,IL-3,SCF,TRAIL,M-CSF,CTACK,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,SCGF-b
P2 C3.1,Foam cells,SARSCoV2,siRNA control,24h,2.569225619,100.8207021,122.7469382,2.805890912,4.991348885,113.7388205,52.01511093,1100.410987,13.77602307,15.02183178,6.527843803,15.40010198,7.343812295,15.38875568,0.424482058,400.2293544,11.68124052,12.79899683,0.586179451,0.71789807,0.99,0.653394781,11.43410933,56.01806316,2.263829427,5.274759698,8209.141426,0.122658973,1.415727525,1574.322796,1103.226576,4.433545086,1.471118574,212.2389084,24,417.0020066,5.630084002,0.227603409,3.740501032,3.294849427,0.878449617,8.026674112,5.527766178,11.50084591,1.046375705,1.622623251,11.19784209,63.94883458
P2 A4.1,Foam cells,SARSCoV2,siRNA NRP1,24h,7.491172922,343.8718579,112.6858379,2.474835571,8.678677618,51.78704318,68.09715931,402.1897702,14.34798058,6.530195682,16.71230191,40.25800409,28.50565167,23.44468302,1.149954716,416.3573716,31.46125093,75.80264767,1.979157628,2.161803869,1.729182632,1.933065818,25.48168297,322.4216264,2.20720399,18.63138104,3830.670784,0.05017777,3.345024966,786.6548726,700.6649313,20.492449,0.7,878.5723148,543.4652757,124.4663625,14.48753485,0.471746503,10.39390258,4.490593585,11.05047012,23.6289,26.55668876,11.50084591,0.83276589,5.785043303,38.70310404,263.7708825
P2 B4.1,Foam cells,SARSCoV2,siRNA NRP1,24h,2.883471054,952.2492033,77.50060417,2.55743551,3.243360038,48.47333278,68.09715931,462.5149023,37.98677008,5.398178494,0.533401752,12.35217483,38.12433567,6.875938035,0.595183972,382.1099651,20.543976,159.7932717,1.7,0.249355378,0.99,1.246235004,9.621545749,95.12714326,1.98132911,9.918049312,7030.200445,0.05017777,1.155644109,783.9008752,483.5399689,6.237209718,0.504795935,324.1163201,536.9339653,106.3757159,5.903580477,0.040520842,3.029699996,3.887256733,1.537523253,15.63444689,22.0242919,9.459003451,0.309633702,2.133137346,52.21832592,80.60155857
P2 C4.1,Foam cells,SARSCoV2,siRNA NRP1,24h,7.718358598,769.4028706,116.1612007,2.847393435,7.880252152,55.7260974,70.03256978,568.873422,22.57084103,8.228171377,9.970071937,30.23584131,32.24262886,19.87545792,1.149954716,420.3228939,32.29918886,112.6216731,1.829169429,1.963887018,1.867028347,1.683011246,20.73732717,300.5483101,3.004970454,18.63138104,8204.151398,0.2,3.113785958,1048.267889,1088.010361,19.0369716,0.7,791.9178779,546.7006382,153.2956274,11.26834106,0.389583754,8.517743219,3.887256733,10.8763126,13.98902831,30.85785007,5.122307327,0.361007604,5.081108507,45.13813415,232.5264845
Mac siRNA control SARSCoV2 1,Macrophages,SARSCoV2,siRNA control,24h,2.332529304,27.270883,66.13303427,12.27031005,4.562954522,178.9156223,19.09359624,3383.619154,35.80677535,6.530195682,7.682491467,20.31234698,4.721627394,11.04135633,0.642979783,327.5394855,27.26792752,7.495958602,0.504097492,1.04308506,0.446057765,1.308588959,14.0570226,80.2706924,1.756536113,24.60701622,866.6691441,0.013546098,2.164199018,962.4292435,1264.115697,7.216103218,1.471118574,343.4107866,298.7074967,886.2356959,5.357687555,0.164004997,4.441401069,9.116992743,1.927386379,5.314540088,14.58347162,9.459003451,0.621332705,2.3041231,9.115042257,505.3367188
Mac siRNA control SARSCoV2 2,Macrophages,SARSCoV2,siRNA control,24h,3.508054529,19.75617605,70.43613627,14.87903034,6.662389578,273.6067314,34.36911881,5722.10294,53.66195996,3.416840202,14.48105741,26.50126762,5.901493182,21.39726486,0.85400698,354.0142389,43.59129714,6.202746265,1.373708678,1.663261419,0.315521665,1.87051208,17.63175455,128.9684084,1.756536113,20.61093631,154.7933673,0.122658973,3.113785958,1392.982256,883.3448787,11.13264245,2.430101239,492.3345423,244.3385086,1041.963963,8.691367489,0.227603409,6.275264082,9.616181627,4.957135144,8.903949357,19.64666733,5.122307327,0.83276589,3.683971299,7.928002804,953.3124282
Mac siRNA NRP1 SARSCov2 1,Macrophages,SARSCoV2,siRNA NRP1,24h,1.856041575,160.4527412,61.55449073,6.132708693,3.689765212,95.74191125,43.4512319,1298.769585,145.4518746,9.077180256,0.533401752,11.7450343,30.10700093,7.327728069,0.39956984,373.2291512,23.06781793,128.8539098,0.069441076,0.432503004,0.99,1.059193653,9.621545749,54.67322666,1.756536113,18.63138104,3792.303086,0.05017777,1.221309044,764.0122867,310.5649776,2.76130517,0.259987664,195.3524513,388.2522989,237.9992634,4.280061363,0.040520842,3.504789813,9.783309929,1.203753978,10.62902487,5.527766178,2.4,0.207824099,1.116457319,32.60204567,212.1062351
Mac siRNA NRP1 SARSCov2 2,Macrophages,SARSCoV2,siRNA NRP1,24h,2.569225619,185.1670729,58.97217404,8.86475063,3.689765212,93.17878293,42.34812189,1490.747025,138.6671588,17.71250605,2.998990914,11.7450343,24.09983589,26.55224115,0.522736628,455.9655258,19.70198981,83.48933188,0.250554464,0.936205063,0.577921799,0.99683787,8.958825787,58.70862736,1.644583473,22.60313993,5489.287308,0.2,1.543439277,657.5996265,398.8107835,3.668255573,0.74771081,201.6746937,351.0592254,279.2316416,7.007792606,0.101435274,3.740501032,8.2926086,1.345866508,12.32200567,5.527766178,5.122307327,0.939323796,1.284624525,33.82002989,172.3400074
Foam cells siRNA control SARSCov2 1,Foam cells,SARSCoV2,siRNA control,24h,3.741122599,15.94848392,56.26962249,3.72470777,6.042867736,274.3590834,29.55898277,5805.045014,57.68640273,2.567443804,9.970071937,22.78211454,4.721627394,5.102638891,0.784325636,343.2881552,25.58876087,5.3483311,1.219650736,1.459810951,0.577921799,1.43332896,16.13990524,139.8164972,2.890390038,18.63138104,156.8561935,0.2,3.113785958,859.6312183,380.783675,8.658295883,2.19068568,414.8960148,24,1078.906894,8.126824809,0.324367682,6.275264082,10.96303202,5.470546009,10.62902487,32.93864005,16.37915194,1.261815334,3.337206348,9.115042257,757.8842468
Foam cells siRNA control SARSCov2 2,Foam cells,SARSCoV2,siRNA control,24h,2.883471054,17.8572844,46.60025185,3.055293787,5.834575696,267.0406727,33.18639385,5180.598123,30.13648259,4.832136338,9.970071937,19.08067354,4.721627394,26.03142716,0.737522909,310.9320752,20.543976,5.635434517,0.907057389,1.459810951,0.99,1.121541657,15.46867967,80.2706924,1.98132911,16.66563621,163.0146843,0.122658973,2.525514916,969.1855001,846.9185142,6.624324125,2.19068568,297.5396944,160.4836768,1212.162751,7.565569346,0.259697543,5.134375109,8.2926086,3.396773988,10.62902487,8.866871638,9.459003451,1.153883439,2.733161425,8.52121794,669.6018592
