Sample,Sample type,Condition,Treatment,Timepoint,IL-2Ra,MIG,MIP-1b,IL-6,IFN-a2,IFN-g,SDF-1a,IL-1ra,MCP-3,IL-16,IL-12 (p40),LIF,TNF-b,IL-5,GM-CSF,MIF,TNF-a,RANTES,IL-2,IL-1b,IL-18,Eotaxin,Basic FGF,VEGF,b-NGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1,IL-8,MIP-1a,IL-10,G-CSF,GRO-a,HGF,IL-1a,IL-3,SCF,TRAIL,M-CSF,CTACK,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,SCGF-b
Mac siRNA control not infected 1,Macrophages,not infected,siRNA control,24h,0.296937885,19.75617605,60.66845269,0.970042392,2.788898446,80.1691756,1.185475628,1105.902996,7.944368989,1.717761803,2.998990914,8.122960845,2.722604247,10.09793818,0.138298156,13.72578747,16.33007826,6.014611193,1.7,0.372853851,0.99,0.62209237,5,66.78699447,0.654874392,12.78154787,431.6034471,0.2,0.887784175,923.841573,683.6565766,2.896389667,0.259987664,157.6748654,24,702.9715437,3.74924022,0.085,0.520477895,2.858525899,0.924323293,3.405059757,15.89565128,2.4,0.412642825,1.116457319,6.152367863,389.5045387
Foam cell siRNA control not infected 1,Foam cells,not infected,siRNA control,24h,0.96730049,17.8572844,60.74551635,0.830543183,3.243360038,80.1691756,21.84841834,1245.183207,10.86778551,2.709026049,5.364092082,7.523317349,2.881669492,4.239358162,0.349251987,31.52812273,16.33007826,5.730605521,1.7,0.249355378,0.99,0.496627977,7.508916717,33.20379339,0.980458203,9.918049312,485.6843668,0.013546098,0.750043151,814.574402,733.4672449,3.213365926,0.504795935,168.0969701,24,732.7704765,4.013928258,0.085,2.060935895,4.490593585,1.15671875,3.405059757,22,11.50084591,0.516594936,0.451277598,3.796195116,417.9442726
Mac siRNA NRP1 not infected 1,Macrophages,not infected,siRNA NRP1,24h,1.776162115,167.2879059,63.74865301,1.71642241,3.689765212,76.08925313,58.18520799,1211.111788,481.1679451,17.99579978,1.787062416,7.523317349,38.39213336,12.95416703,0.246183717,153.9719725,28.94601218,201.0593465,1.7,0.491109066,0.99,0.747193273,6.700147459,7.901728303,0.980458203,7.108771339,5192.432364,0.122658973,1.794981553,419.3513885,274.2156403,1.981109631,0.74771081,136.1041946,407.3158116,170.5334288,2.706761882,0.085,3.975120638,18.16861998,0.412513777,15.63444689,22,11.50084591,0.621332705,0.948929133,50.98462543,212.1062351
Mac siRNA NRP1 not infected 2,Macrophages,not infected,siRNA NRP1,24h,1.29338692,106.0632811,42.32777998,2.972056853,3.689765212,65.83310341,29.55898277,1143.312498,75.53419291,17.28758959,0.533401752,5.733069415,23.03039702,4.239358162,0.39956984,160.6206397,16.33007826,95.28628417,0.069441076,0.116317678,0.99,0.747193273,3.611991234,37.22143765,0.441429588,5.274759698,4077.493518,0.05017777,0.750043151,282.9582526,116.5731803,2.482907871,0.009798721,152.2686492,356.7442566,257.1777607,2.706761882,0.085,1.563667255,5.413824563,0.348987838,8.903949357,22,2.726865162,0.516594936,0.948929133,35.03914229,129.5348102
Foam cells siRNA NRP1 not infected 1,Foam cells,not infected,siRNA NRP1,24h,0.96730049,144.1609421,37.70276595,0.455583339,2.324678136,78.59736549,21.84841834,1365.484683,98.96587508,19.55415378,5.364092082,9.32599018,25.30210618,4.668830548,0.522736628,199.0385283,12.1045708,98.42612639,1.7,0.249355378,0.99,0.653394781,4.806486738,5,0.336218931,14.71511034,4749.490678,0.2,1.155644109,280.3093763,105.1343039,1.981109631,0.259987664,122.9012216,274.133549,235.2689548,4.816377504,0.011332846,1.437499094,7.478277873,0.225293138,15.63444689,22,5.122307327,0.621332705,0.451277598,33.21089578,40.43256834
Foam cells siRNA NRP1 not infected 2,Foam cells,not infected,siRNA NRP1,24h,1.776162115,106.0632811,44.21300709,3.034475057,2.788898446,69.85595427,29.55898277,1298.023059,68.98225732,19.8375356,0.533401752,6.92504377,21.55835155,11.99361756,0.246183717,187.7775962,15.06379258,87.25078311,1.7,0.372853851,0.99,0.684677552,3.611991234,7.901728303,0.980458203,8.974896418,3784.368404,0.122658973,1.022837241,297.950678,142.6775267,2.375267331,0.504795935,153.515433,282.7733058,264.0544848,4.013928258,0.070699366,1.813652857,6.040278613,0.225293138,7.137551277,22,2.726865162,0.309633702,0.948929133,27.43859917,33.06555014
Foam cells siRNA NRP1 SARSCov2 1,Foam cells,SARSCoV2,siRNA NRP1,24h,1.13085375,90.29477353,38.61567988,2.207173281,2.324678136,74.36980215,21.84841834,891.8462871,124.8450875,11.90752989,12,8.122960845,16.98962764,13.43739588,0.193027432,332.7440029,7.012242601,91.5401216,1.7,0.249355378,0.99,0.934468052,4.806486738,35.88175482,1.421659648,7.108771339,3022.205449,0.2,1.155644109,604.518861,170.1370448,2.629371458,0.7,164.3411352,306.1234037,200.0056647,2.706761882,0.040520842,1.182369193,8.62119348,1.016698832,8.903949357,22,2.4,0.207824099,0.616181961,27.74173314,162.6400147
Foam cells siRNA NRP1 SARSCov2 2,Foam cells,SARSCoV2,siRNA NRP1,24h,0.88508184,145.0205608,49.8352441,8.401214202,4.129327603,85.53746891,24.49942336,1232.947843,110.0751588,15.02183178,0.533401752,8.122960845,17.66391655,1.778535249,0.219771095,388.7297313,14.64145261,73.63656743,0.069441076,0.3,0.99,0.62209237,6.700147459,25.18260452,0.980458203,8.974896418,4573.352876,0.2,1.155644109,679.670002,297.7348336,3.067360677,0.7,189.8830487,274.133549,253.0585012,2.4507905,0.085,1.310435459,5.726013025,1.15671875,7.137551277,22,2.4,0.207824099,0.948929133,20.48858202,182.1399633
Mac siRNA control not infected 1.1,Macrophages,not infected,siRNA control,24h,0.467994352,15.94848392,59.51208779,0.751126468,3.243360038,77.81268104,9.838361223,1116.527499,7.944368989,2.284255459,2.998990914,6.92504377,3.352436852,6,0.246183717,14.1041384,12.9507686,6.014611193,1.7,0.372853851,0.99,0.559417743,6.700147459,31.86555122,0.762780257,8.974896418,412.7333182,0.2,0.750043151,820.5366193,602.4550142,2.913102147,0.009798721,170.1854328,24,717.8583735,3.74924022,0.085,1.053166375,3.887256733,0.832797021,5.314540088,3.596311826,9.459003451,0.309633702,0.948929133,4.383800685,406.5248804
Foam cell siRNA control not infected 1.1,Foam cells,not infected,siRNA control,24h,0.382896638,18.80789827,60.62991962,0.890250478,3.243360038,83.00658853,16.20786139,1251.12134,9.763395972,2.567443804,12,6.92504377,3.196503272,6,0.138298156,30.17589172,15.48600788,6.389966348,1.7,0.491109066,0.99,0.307158941,5.811096336,26.51800683,0.980458203,10.86716837,431.6034471,0.05017777,0.750043151,753.2582837,583.641839,3.202637278,0.259987664,164.7582346,24,679.2061799,3.224539275,0.164004997,1.182369193,3.294849427,0.832797021,3.405059757,22,2.4,0.464512382,0.782129007,5.267092784,328.270587
Mac siRNA NRP1 not infected 1.1,Macrophages,not infected,siRNA NRP1,24h,1.935777594,154.4603309,61.55449073,1.696077245,3.243360038,88.39445218,49.91375594,1164.637754,444.8364167,17.28758959,12,6.92504377,38.65997814,3.814562739,0.298177179,150.3956819,25.58876087,184.7253195,1.7,0.372853851,0.99,0.684677552,5.811096336,10.54718294,0.762780257,5.274759698,4590.916958,0.2,1.543439277,526.4978096,240.1619281,1.812044655,0.009798721,134.4508731,450.2846576,154.6165727,3.486079516,0.070699366,2.669690487,14.41978876,0.30721428,18.06893736,22,5.122307327,0.412642825,0.948929133,51.60135282,222.2738676
Mac siRNA NRP1 not infected 2.1,Macrophages,not infected,siRNA NRP1,24h,2.411531859,111.2932603,45.7011939,3.556784767,3.689765212,83.95470909,40.11656373,1294.291416,76.27360656,19.55415378,5.364092082,4.548203216,25.30210618,23.9596588,0.546993181,180.0094319,18.01686483,97.42443255,0.907057389,0.71789807,0.99,1.121541657,8.257538588,70.8296575,1.421659648,9.918049312,4200.121579,0.086499926,1.543439277,300.562494,169.4632529,2.533084897,0.009798721,163.507098,380.7417125,279.2316416,4.816377504,0.070699366,2.060935895,7.31668126,0.476961317,17.26149824,11.83648501,9.459003451,0.72674902,1.368926231,34.42944603,192.0364166
Foam cells siRNA NRP1 not infected 1.1,Foam cells,not infected,siRNA NRP1,24h,0.802527484,130.3718979,36.94709139,0.652188497,3.243360038,71.25379831,16.20786139,1341.808562,94.42831318,18.42076496,12,4.548203216,23.43153365,6,0.39956984,184.5228135,11.68124052,92.07566008,1.7,0.249355378,0.99,0.559417743,4.806486738,18.51618347,0.232392707,5.274759698,4358.017719,0.2,1.022837241,276.0881308,113.0619965,1.795110251,0.259987664,130.3212666,282.7733058,237.9992634,2.706761882,0.040520842,2.060935895,6.35654538,0.412513777,8.903949357,22,2.726865162,0.412642825,0.782129007,32.60204567,63.94883458
Foam cells siRNA NRP1 not infected 2.1,Foam cells,not infected,siRNA NRP1,24h,1.13085375,106.0632811,40.79112406,3.055293787,2.324678136,72.49860244,21.84841834,1217.02855,68.64289816,17.00432776,5.364092082,8.122960845,23.6988913,11.99361756,0.473870113,176.8163568,14.64145261,81.3359568,1.7,0.116317678,0.99,0.528039141,6.700147459,51.98448068,0.441429588,5.274759698,3658.882449,0.2,0.887784175,295.7956146,133.3551732,2.375267331,0.7,168.5145548,306.1234037,235.2689548,3.224539275,0.040520842,1.813652857,6.674743534,0.391230172,7.137551277,22,7.343032405,0.516594936,0.616181961,28.95502986,76.37381934
