Sample,Sample type,Virus status,Timepoint,Treatment,IL_2ra,MIG,MIP_1b,IL_6,IFN_a2,IFN_g,SDF_1a,IL_1ra,MCP_3,IL_16,IL_12_p40,LIF,TNF_b,IL_5,GM_CSF,MIF,TNF_a,RANTES,IL_2,IL_1b,IL_18,Eotaxin,Basic FGF,VEGF,b_NGF,PDGF_BB,IP_10,IL_13,IL_4,MCP_1,IL_8,MIP_1a,IL_10,G_CSF,GRO_a,HGF,IL_1a,IL_3,SCF,TRAIL,M_CSF,CTACK,IL_15,IL_7,IL_12_p70,IL_17,IL_9,SCFG_b
Unknown8,Primary Macrophages,Not infected,2,oxLDL,4.725725452,23.35830835,300.2312547,0.657879939,8.445424044,68.82009781,40.0803317,428.7393757,11.49163648,119.6464455,42.41607028,26.10605737,10.79713949,13.30493433,1.434883587,602.5604696,50.62737651,6.653372638,1.983296459,0.829379439,7.688424375,2.130598623,11.08657922,298.9227601,21.29238357,11.5453459,892.8382353,0.106331088,4.765654701,8800,2734.878655,23.76462893,4.747843301,541.3248669,444.8765534,790.3935697,8.681005512,0.359573204,5.573933302,9.195383441,77.87698302,10.64870585,56.78762622,8.341334858,1.196448295,3.704495187,8.510080125,660.6798815
Unknown9,Primary Macrophages,Not infected,2,oxLDL,4.075775278,26.03278578,314.306387,0.892107745,7.965023427,82.82067437,40.0803317,383.0663012,9.296694002,64.86131914,39.65253403,23.46282875,10.13419215,23.94571437,0.869878224,451.3450074,48.09711503,5.856905367,3.168280334,0.765001511,9.842777253,2.492535025,11.24948177,360.1229301,15.27651733,15.57034434,633.3729674,0.261476585,3.993073193,8800,2676.797788,21.19561418,4.747843301,530.2661023,463.0271436,667.6210035,11.11157677,0.527845289,4.500387927,7.301737401,167.1917348,5.964525047,60.34309479,8.341334858,1.334793504,2.681206722,9.844857013,748.7484941
Unknown8,Primary Macrophages,Not infected,2,oxLDL,4.509910981,22.45820991,305.6403915,0.87633449,8.206016052,61.24443952,34.77331259,409.8686467,11.06616757,124.9086021,51.98301899,24.12566988,9.03164156,18.63715629,1.220754458,634.7838429,49.78478693,5.453939152,2.777903883,0.861571885,7.196532318,2.553166991,11.24948177,336.7159502,17.18931535,9.830893494,1093.726449,0.053204784,4.612821045,5259.539897,2372.050439,26.04076447,4.66408097,673.3771849,447.1754676,827.2641424,8.681005512,0.40685668,6.212886561,6.46062627,84.86809036,8.703135456,46.43400148,10.02741508,1.196448295,3.296269074,8.510080125,759.217937
Unknown9,Primary Macrophages,Not infected,2,oxLDL,4.509910981,23.35830835,327.2217925,0.939550751,7.722376109,75.63886397,31.18687735,399.086963,11.49163648,78.15986652,39.65253403,22.1328043,10.13419215,21.2939237,1.220754458,527.3604658,56.92203769,7.438803704,2.777903883,0.797189331,12.62267249,2.492535025,11.41132968,441.0649097,17.40314136,15.57034434,1173.453769,0.106331088,4.765654701,8800,2581.005148,26.90335455,5.420583436,776.1904537,454.019741,821.3944371,9.28490323,0.503355225,5.145912898,6.46062627,207.127908,8.313066959,61.21725654,7.197642648,1.334793504,3.398448353,9.178826697,1211.074468
Unknown22,Primary Macrophages,Infected ,2,oxLDL,6.986855795,33.86195026,416.0668554,8.555595781,12.10208456,63.19834933,48.76547993,615.2919646,28.39725968,26.50885553,56.03933834,83.60142459,13.45879102,15.53013568,1.8478619,1265.726612,101.7036695,8.599420585,3.090512835,1.24807667,2.890359323,3.102411754,14.75145854,1622.852647,31.07131159,15.1126183,3720.211446,0.158560962,6.836297462,1042.674278,8080.934454,89.09157158,12.51753549,1847.466229,566.3799755,491.5299793,17.96574678,0.702831656,8.843499112,7.714713002,12.40184923,12.97442715,52.19682496,4.847774739,1.679843268,5.326944374,10.28747455,83
Unknown23,Primary Macrophages,Infected ,2,oxLDL,7.750487485,34.71658569,614.832932,5.62435565,11.43774864,127.0558168,41.83220265,1327.906888,20.26168262,11.74480632,38.26508286,50.43623439,9.69281016,28.35605704,1.434883587,971.4079761,56.5036869,5.453939152,3.47795679,1.764022122,12.36809647,3.471797123,19.33591127,790.3232549,13.17762603,18.84097735,735.3558718,0.23,8.0445871,2344.985224,2964.361816,555.9840472,7.291981896,2490.367417,574.043467,155.5130989,18.28221416,0.55247086,8.947843113,8.796148935,240.6349496,12.2001582,81.57390053,9.468919471,0.77983481,6.536003518,10.72903566,1649.441542
Unknown22,Primary Macrophages,Infected,2,oxLDL,7.4041015,35.56852682,432.9683827,9.446387872,10.31053294,67.6912198,58.97741752,673.5560859,37.00134409,28.46359222,47.90157552,92.03140635,14.12653034,13.30493433,1.962825008,1176.023529,112.6084146,8.599420585,3.862217455,1.473714884,2.583121718,3.102411754,16.15932049,2027.451334,39.30233995,13.30726323,5817.242281,0.158560962,7.266305596,1229.781941,7365.785584,112.8263562,14.11281649,1752.125386,596.59806,609.3629439,17.96574678,0.577227305,9.572706179,6.318176648,13.89673498,13.7478059,47.41612815,4.847774739,0.77983481,5.225934143,12.04786591,56.55785325
Unknown23,Primary Macrophages,Infected,2,oxLDL,8.09575111,37.26464562,669.2285288,5.971100708,12.32169348,138.6779752,39.20133672,1375.636784,23.04690102,13.40032401,39.65253403,55.43060009,11.2396715,28.35605704,1.702395248,1037.401963,55.66645107,6.256628372,3.708865895,1.602712094,11.18483065,3.225272022,16.97804695,839.3379455,13.17762603,20.75887407,918.8262916,0.053204784,8.949485057,5184.574335,2588.464706,504.7136227,6.778763116,3112.644365,625.737837,164.6619595,17.33396639,0.627115888,9.468701328,8.258736741,264.068585,12.2001582,80.8054707,8.906980891,0.849472557,6.334847716,10.72903566,1845.831161
Unknown24,Primary Macrophages,Infected,2,oxLDL,4.075775278,28.67234321,226.9947137,2.340237227,7.965023427,81.08997524,28.46765965,282.2322252,12.32608384,38.70939098,57.38624239,37.13793581,8.811499822,13.75041838,1.158410598,1046.000364,18.70053038,3.37697455,1.821554501,0.765001511,3.511043225,2.070604777,12.67129261,548.0939541,25.47210931,13.30726323,1893.314462,0.079915913,4.612821045,8800,1398.324555,22.6544515,2.274577477,604.3706107,416.5559378,994.780893,9.28490323,0.371328662,6.212886561,7.57755691,51.07623204,9.092867018,48.38914669,4.847774739,0.77983481,2.989189526,6.711425614,1646.492314
Unknown25,Primary Macrophages,Infected,2,oxLDL,6.63773816,33.86195026,425.354665,2.408213604,11.66013715,90.66167638,40.0803317,409.8686467,12.73587734,25.69385312,65.4178326,47.29641792,9.69281016,30.11737322,1.495025658,1091.994557,38.32134162,5.856905367,2.462549306,1.280302483,10.51237349,2.97983207,15.88227258,828.2038872,25.69400653,15.57034434,747.8742095,0.158560962,7.05181587,8800,2098.284624,63.57956305,4.246445846,1299.268979,562.5195662,694.2956406,18.28221416,0.627115888,7.586468406,7.163033191,222.1144762,9.092867018,84.61631566,3.629535416,0.919018779,4.720182083,10.06630119,1138.264124
Unknown24,Primary Macrophages,Infected,2,oxLDL,3.637914388,28.67234321,199.0162118,1.818865688,8.919740517,78.50221939,23.87021807,238.4705306,11.06616757,26.67181596,45.1654122,28.72906402,8.151843715,15.0855238,1.127021725,911.4024233,15.78333376,3.802382341,2.303700822,0.829379439,3.199725972,2.130598623,9.914026928,507.2774833,20.20468963,13.30726323,993.9604135,0.02602124,3.993073193,8800,1079.459946,19.90714964,1.872553089,538.7427454,411.6945202,785.370279,8.982623241,0.430750239,4.608289681,6.883924001,37.84763134,5.964525047,62.085862,9.468919471,0.500117323,2.681206722,6.711425614,1116.001212
Unknown25,Primary Macrophages,Infected,2,oxLDL,6.497709959,37.26464562,433.6782797,2.476338484,11.66013715,91.24583654,40.95726838,391.3513202,13.54229909,22.75662183,53.33780358,51.68809352,10.13419215,27.47482753,1.374303328,1044.673522,37.46482703,6.653372638,2.934526858,1.409233043,10.8482537,2.371528222,15.88227258,808.1545126,23.48342152,16.03053054,849.8454918,0.053204784,6.692025768,8800,2200.934299,70.23432396,4.246445846,1388.066741,538.9336325,717.6587994,16.70376109,0.652240271,7.691588859,6.318176648,234.4864037,9.092867018,75.33202464,10.02741508,1.057870978,5.225934143,8.956224458,1149.420636
Unknown10,Primary Macrophages,Not infected,8,oxLDL,9.262074812,52.14070346,1160.723614,26.28705953,11.88157391,276.857133,87.03038057,4931.36553,197.8655793,32.93822947,53.33780358,41.60483195,28.33130452,44.16395319,1.962825008,363.8989049,163.6519004,23.51063717,4.471433602,1.860842308,5.573602101,4.718571457,18.17411328,669.6436929,16.12400952,39.33037771,8275.825549,0.210225185,8.672646035,8800,34628.03721,115.5722305,19.32287361,1574.053908,3710.016064,654.293865,21.14686482,0.702831656,11.4362288,16.66297592,35.11302576,15.29209536,73.73578692,12.23118839,1.610913929,6.334847716,18.96702068,3759.198666
