Sample,Sample type,Virus status,Timepoint,Treatment,IL_2ra,MIG,MIP_1b,IL_6,IFN_a2,IFN_g,SDF_1a,IL_1ra,MCP_3,IL_16,IL_12_p40,LIF,TNF_b,IL_5,GM_CSF,MIF,TNF_a,RANTES,IL_2,IL_1b,IL_18,Eotaxin,Basic FGF,VEGF,b_NGF,PDGF_BB,IP_10,IL_13,IL_4,MCP_1,IL_8,MIP_1a,IL_10,G_CSF,GRO_a,HGF,IL_1a,IL_3,SCF,TRAIL,M_CSF,CTACK,IL_15,IL_7,IL_12_p70,IL_17,IL_9,SCFG_b
Unknown2,Primary Macrophages,Not infected ,0,Not treated,4.003474246,32.77043598,18.06695449,5.270909533,6.236022707,133.2853167,52.3231398,7617.459994,166.927966,63.57430107,28.15150525,11.10107924,26.01237501,34.0183615,1.108092392,397.5025921,18.73621419,9.866227259,2.480902583,0.661197624,14.17747078,2.814136779,4.966020943,36.77230827,4.440988075,70.47549054,8454.536558,0.087312552,2.995433288,8800,5186.886699,1.870775597,15.9985722,62.56362398,3740.384279,782.5772982,5.865805831,0.365107813,6.130052718,13.40956134,720.8152288,9.645109116,30.46230837,3.786963515,1.188948018,2.865653572,18.64339809,21203.04971
Unknown3,Primary Macrophages,Not infected ,0,Not treated,4.30448194,20.19329919,473.032769,2.192175903,7.100944928,59.6934859,26.78099495,1720.143362,16.1772578,9.186970995,28.15150525,21.54226709,7.434595828,26.40604718,1.217193055,125.2894081,22.12293128,4.448101274,2.241583597,0.932403756,4.532031802,2.552732394,10.35262185,277.4511272,7.092896625,24.14641568,413.6402459,0.127693792,4.925250387,8800,555.2437557,64.84523188,11.16790446,1467.435564,428.7579714,82.88815816,13.75582873,0.852127402,5.206654615,4.307013273,52.73572894,9.299079965,63.81307673,6.740185154,1.303564254,4.854422066,8.48392528,2002.655513
Unknown4,Primary Macrophages,Not infected ,0,Not treated,1.651120786,7.40319602,100.1922062,0.489430039,2.976651871,19.5498053,12.9785482,255.3535767,3.139537608,5.521612191,9.382192786,4.796845067,4.580557303,21.63083213,0.349676771,63.60877704,5.624031357,2.381394241,2.122079748,0.243300347,1.684791967,1.054562384,4.287300137,140.860194,4.716831806,9.204672777,525.0531927,0.127693792,0.944710966,3178.130916,171.1046646,4.398085262,2.310904396,149.5895925,207.1849523,123.2009996,4.130609613,0.477046168,0.973678963,2.172166318,29.76871467,4.079154787,50.08217808,5.643046075,1.188948018,2.2178798,4.722627841,1069.531586
Unknown5,Primary Macrophages,Not infected ,0,Not treated,2.07429261,15.06994859,238.6394024,0.58759593,3.473497322,28.72598016,17.25700344,425.9787402,3.648644978,9.114657113,17.77659601,8.479959558,5.543216511,19.94053512,0.595720398,86.55734865,9.359753689,2.876611873,1.823803073,0.243300347,7.131707235,1.321826117,3.55356185,147.1760995,6.810666024,7.767303418,309.7996,0.167580637,1.783713802,8800,261.7527879,9.818546555,8.146155029,306.3837677,218.7975384,180.4682685,8.840318284,0.529798844,2.168771487,3.12866877,142.0271419,5.128683235,45.12961432,12.10669005,0.960875337,2.702861405,6.059654453,1063.440384
Unknown2,Primary Macrophages,Not infected ,0,Not treated,4.846159682,34.63776252,19.00465818,5.446931561,5.794998481,148.893287,52.99408401,8603.135055,174.2640013,65.48948303,24.01326793,11.10107924,27.82422007,33.66979042,1.35179587,501.2583318,17.98019601,8.736762295,2.241583597,0.905030001,18.11269102,2.814136779,6.208806259,73.83416097,6.108095093,87.51533445,8100.891854,0.207108994,2.802208534,8800,5819.634758,1.728935579,17.44579101,72.21325594,4227.368905,815.9173689,5.865805831,0.283053772,5.542610631,12.32834574,764.8264337,9.645109116,42.56092073,9.979660976,1.765323484,2.540615433,21.5893326,22632.33506
Unknown3,Primary Macrophages,Not infected ,0,Not treated,5.688573598,19.185121,521.2220067,2.464176106,8.9791881,71.48751141,33.48866039,1820.018427,15.50122028,10.05597636,26.08410124,26.74747325,8.088836496,28.81480162,1.271257525,135.5749435,21.37236396,3.849450707,3.0808844,1.097673005,4.532031802,2.552732394,10.11865132,350.0299534,6.66980417,17.06270358,404.9067148,0.207108994,4.69425189,8800,592.7287279,66.06587254,11.40263749,1438.212287,470.4145346,81.60446555,13.44397473,0.806033648,5.542610631,6.12121094,54.45524527,8.259790209,69.50506136,4.905295233,1.649428013,5.529275763,7.558998667,1979.671379
Unknown4,Primary Macrophages,Not infected ,0,Not treated,1.772095693,6.229208095,100.4163119,0.620396668,2.976651871,21.05187062,14.72012096,247.4792054,3.395808678,5.521612191,9.382192786,4.268814904,4.093301666,19.60351719,0.47483705,58.31948899,6.021484512,2.876611873,1.526272899,0.193256749,1.819476352,1.232928487,3.55356185,129.5320936,5.271001438,7.291284517,525.0531927,0.127693792,1.185904223,2762.170257,162.7177701,4.200379912,2.166425565,143.4367005,202.3936416,114.0172874,4.704061567,0.058110325,0.801525211,1.248048747,29.45036114,3.377235168,45.12961432,7.103687291,0.960875337,1.897722027,2.751847628,990.6652328
Unknown5,Primary Macrophages,Not infected ,0,Not treated,2.315841167,12.95267488,237.0173529,0.489430039,3.716789011,28.85597389,19.72003038,432.5989478,3.648644978,8.536736316,15.68803552,7.954918525,5.924650369,23.32939221,0.713419591,81.14028585,10.13683818,3.121816861,1.645190137,0.293994562,6.912472933,1.188411436,5.603621401,198.2116378,6.810666024,7.291284517,305.7192438,0.087312552,1.783713802,8800,236.0434862,9.897513241,8.299696936,303.9775244,255.1041835,179.7947895,5.282611062,0.283053772,2.083814189,3.12866877,139.5916623,4.779239025,54.82577664,4.905295233,0.847488222,2.702861405,5.107480541,1124.531472
Unknown2,Primary Macrophages,Infected,0,Not treated,4.003474246,32.77043598,18.06695449,5.270909533,6.236022707,133.2853167,52.3231398,7617.459994,166.927966,63.57430107,28.15150525,11.10107924,26.01237501,34.0183615,1.108092392,397.5025921,18.73621419,9.866227259,2.480902583,0.661197624,14.17747078,2.814136779,4.966020943,36.77230827,4.440988075,70.47549054,8454.536558,0.087312552,2.995433288,8800,5186.886699,1.870775597,15.9985722,62.56362398,3740.384279,782.5772982,5.865805831,0.365107813,6.130052718,13.40956134,720.8152288,9.645109116,30.46230837,3.786963515,1.188948018,2.865653572,18.64339809,21203.04971
Unknown3,Primary Macrophages,Infected,0,Not treated,4.30448194,20.19329919,473.032769,2.192175903,7.100944928,59.6934859,26.78099495,1720.143362,16.1772578,9.186970995,28.15150525,21.54226709,7.434595828,26.40604718,1.217193055,125.2894081,22.12293128,4.448101274,2.241583597,0.932403756,4.532031802,2.552732394,10.35262185,277.4511272,7.092896625,24.14641568,413.6402459,0.127693792,4.925250387,8800,555.2437557,64.84523188,11.16790446,1467.435564,428.7579714,82.88815816,13.75582873,0.852127402,5.206654615,4.307013273,52.73572894,9.299079965,63.81307673,6.740185154,1.303564254,4.854422066,8.48392528,2002.655513
Unknown4,Primary Macrophages,Infected,0,Not treated,1.651120786,7.40319602,100.1922062,0.489430039,2.976651871,19.5498053,12.9785482,255.3535767,3.139537608,5.521612191,9.382192786,4.796845067,4.580557303,21.63083213,0.349676771,63.60877704,5.624031357,2.381394241,2.122079748,0.243300347,1.684791967,1.054562384,4.287300137,140.860194,4.716831806,9.204672777,525.0531927,0.127693792,0.944710966,3178.130916,171.1046646,4.398085262,2.310904396,149.5895925,207.1849523,123.2009996,4.130609613,0.477046168,0.973678963,2.172166318,29.76871467,4.079154787,50.08217808,5.643046075,1.188948018,2.2178798,4.722627841,1069.531586
Unknown5,Primary Macrophages,Infected,0,Not treated,2.07429261,15.06994859,238.6394024,0.58759593,3.473497322,28.72598016,17.25700344,425.9787402,3.648644978,9.114657113,17.77659601,8.479959558,5.543216511,19.94053512,0.595720398,86.55734865,9.359753689,2.876611873,1.823803073,0.243300347,7.131707235,1.321826117,3.55356185,147.1760995,6.810666024,7.767303418,309.7996,0.167580637,1.783713802,8800,261.7527879,9.818546555,8.146155029,306.3837677,218.7975384,180.4682685,8.840318284,0.529798844,2.168771487,3.12866877,142.0271419,5.128683235,45.12961432,12.10669005,0.960875337,2.702861405,6.059654453,1063.440384
