Sample,Sample type,Experiment,Virus status,Timepoint,Treatment,IL-2ra,MIG,MIP-1b,IL-6,IFN-a2,IFN-g,SDF-1a,IL-1ra,MCP-3,IL-16,IL-12 (p40),LIF,TNF-b,IL-5,GM-CSF,MIF,TNF-a,RANTES,IL-2,IL-1b,IL-18,Eotaxin,Basic FGF,VEGF,b-NGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1,IL-8,MIP-1a,IL-10,G-CSF,GRO-a,HGF,IL-1a,IL-3,SCF,TRAIL,M-CSF,CTACK,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,SCFG-b
Unknown3,Whole sample,2,Not infected,0,Not treated,0.374614883,123.0271692,3.304905706,0.368253763,1.63873291,0.428363318,48.55502674,6.769683957,1.417961908,5.605238119,7.402226295,1.721702487,7.583258726,7.496948242,0.41998291,1665.111282,3.807495117,22.18620352,0.450068798,0.304443359,1.045593262,0.76174035,8.160492997,5.999450684,1.269711248,3.87393887,200.653372,0.233154297,0.363555297,7.692743746,1.414886862,0.265423395,0.37922205,9.970077591,87.05249594,224.8082083,0.901169903,0.042997836,0.584332276,0.647644043,0.040710793,17.27507,25.53655766,1.686740726,0.000159573,2.846984863,7.097913984,1051.59865
Unknown4,Whole sample,2,Not infected,0,Not treated,2.132416752,258.715498,12.09000153,2.965103384,3.027006232,11.07489693,109.4806491,491.3240959,4.531299633,73.56433998,31.41382844,5.321643318,21.15369127,7.496948242,0.510944857,2622.568589,1.331193995,49.7452059,1.894042271,0.011198704,0.369242015,1.67867136,16.04296181,5.999450684,7.694190914,34.82379961,588.1642936,0.016634667,0.867030145,83.61538295,29.90726874,2.432746942,0.37922205,83.69103063,116.1866198,716.1692042,1.965331198,0.005999938,2.355469019,2.788976351,1.630265468,44.32875655,19.49023438,10.5676821,0.149806625,1.796083195,16.23714172,7992.416603
Unknown5,Whole sample,2,Not infected,24,Not treated,3.900548418,919.7778092,58.27863964,6550.741019,7.573476698,16.31501034,346.3263026,165.8887388,6.64310248,39.21229935,110.6157825,94.44139316,51.12241794,3.155336674,1.396316311,946.9528416,12.16315146,115.4759516,2.660291029,0.723390555,0.369242015,2.852116225,47.84381887,20.94216337,22.15407741,43.58642321,1129.160624,0.042689772,3.125672661,571.8369253,2521.180873,18.70214883,1.487372059,568.3195309,266.6117224,5689.426286,6.241810064,0.298851554,5.989125852,7.873764171,3.132260199,206.2557094,19.49023438,7.244376214,0.293742112,2.373474208,38.52303964,13314.34009
Unknown6,Whole sample,2,Not infected,24,Not treated,3.507042237,2587.824295,36.28588991,7987.794975,8.578829996,18.04615328,394.8851536,125.6557953,5.777656227,28.7072291,103.9467481,135.9956527,46.91625697,6.451972522,1.671250548,2229.53661,11.27633387,96.72101766,2.769400376,0.553081968,1.045593262,3.182783298,41.48610822,183.902369,21.32981329,41.36539478,1506.610525,0.11306567,2.879936188,538.6298364,5258.987594,14.56164765,1.037235328,451.1850457,249.0984254,4123.482262,6.853365909,0.188948073,5.410245348,9.21543718,2.718395579,275.2290247,37.83123368,7.8048686,0.293742112,2.126156928,37.01123315,8669.863498
Unknown7,Whole sample,2,Not infected,24,Not treated,10.13008851,2267.770191,104.6773794,8866.049903,14.59704865,108.4131736,443.8089553,2685.02359,43.81909404,236.7490371,207.0566553,174.8781929,56.66867098,11.07784248,3.384419684,2932.432815,25.36395725,111.039523,6.666606415,1.713905265,5.228608361,5.639592593,51.20055903,224.6144228,57.65677731,110.1907947,2282.408718,0.40279128,4.941847766,594.9251017,61099.85967,38.04075093,3.750824771,1025.512958,455.2362642,9783.767629,13.42551505,0.491804754,16.06247465,15.40254216,13.20149254,330.9055975,41.68748338,21.71875982,1.406574295,7.060967991,41.53976764,29739.82445
Unknown5,Whole sample,2,Not infected,24,Not treated,3.900548418,840.6830656,54.28709143,6555.095331,7.777370329,16.60256516,328.1263951,150.8716424,6.385353281,36.22599736,106.1743303,89.85276128,53.51169239,4.802598405,1.671250548,939.6780135,12.16315146,106.1885436,2.660291029,0.69516747,0.369242015,2.654585767,44.75145156,45.02768346,19.82286333,44.33103662,1070.261967,0.066991359,3.044044051,552.5720999,2781.968885,17.6289015,1.149103763,490.9119621,260.1480768,5266.662279,6.241810064,0.349299663,5.844467969,7.532568312,2.764243735,191.6179028,15.05068256,6.113571176,0.506131784,1.961171001,40.28385405,12554.74557
Unknown6,Whole sample,2,Not infected,24,Not treated,4.294345067,2611.142279,35.80343511,7778.022864,8.380475188,20.8138698,378.9257095,110.4219239,6.126027869,27.57519963,106.1743303,145.9357263,47.99856626,9.755218963,1.803423876,2316.352378,10.56307356,94.41136742,3.422625407,0.610124566,0.707616833,2.984172976,39.89753547,162.5479983,28.66567181,45.07774526,1433.569481,0.15714676,2.879936188,671.0227555,7674.957064,15.21303992,1.205215438,423.5432085,260.1480768,4432.270602,7.058370685,0.359420355,6.350602673,8.43693917,2.581068075,280.0685751,38.8181808,10.01980313,0.716101117,2.126156928,32.45977349,9636.305091
Unknown7,Whole sample,2,Not infected,24,Not treated,10.27904122,2209.774309,101.0403529,8473.805366,14.93737862,94.13557284,436.7355034,2253.785456,41.35553623,224.6582515,223.69582,165.7888251,50.78197828,9.094167326,3.276334909,2739.312742,22.3373802,101.1353717,5.91185043,1.496901217,5.228608361,5.605519604,46.90118356,232.0943622,65.35535793,105.432694,2096.397479,0.441911052,5.095312605,590.8600342,18302.4722,37.74096851,3.809945468,917.932813,440.5667319,9442.193056,12.5556427,0.512292324,14.77041981,18.19788451,12.65643279,311.9107061,39.78929097,22.23728684,0.716101117,6.567593948,43.29570204,30824.17254
Unknown8,Whole sample,2,Infected,24,Not treated,5.625356474,2159.412579,74.69869153,8342.806782,9.934314992,39.33754268,209.6859457,386.2244672,10.20080832,58.76095293,160.6129275,294.4323592,45.63379996,1.183110482,2.365706985,1374.378797,16.18519455,73.63348038,3.802720206,1.196108935,1.054586196,2.654585767,42.31211066,131.6848571,39.10589359,56.51530325,1057.786921,0.15714676,4.086243545,545.9797199,17169.04561,33.70405758,3.455897728,852.4478035,458.1311934,8776.630962,7.883819883,0.318998633,9.163671076,12.67150154,10.98021847,235.3188409,31.51297538,8.917343675,0.85516562,3.608167348,32.33296265,13113.46816
Unknown9,Whole sample,2,Infected,24,Not treated,4.786974379,2758.690217,65.3227313,7142.57382,8.971804456,25.83836397,377.75934,258.7865854,13.11411789,62.2765932,126.028406,146.349682,41.20170547,7.496948242,2.244676418,2125.273624,11.98619087,79.26742111,3.313908266,1.002853817,0.707616833,3.44852262,40.23413048,136.3445082,36.5460888,53.42358939,1752.615444,0.11306567,3.689937133,723.4435335,16782.92133,28.9150221,1.714806963,850.8587283,447.9429117,4632.792707,7.47003248,0.198866458,6.639622136,6.957613827,9.074691052,317.8715293,22.87595414,8.917343675,0.149806625,2.620630385,32.20612943,16286.09035
